contestId,index,rating,tags
1616,C,1500,"['brute force', 'geometry', 'implementation', 'math']"
1616,B,1100,"['greedy', 'strings']"
1616,A,800,['implementation']
1622,D,2000,"['combinatorics', 'math', 'two pointers']"
1622,C,1600,"['binary search', 'brute force', 'greedy', 'sortings']"
1622,B,1000,"['data structures', 'greedy', 'math', 'sortings']"
1622,A,800,"['geometry', 'math']"
1615,B,1300,"['bitmasks', 'greedy', 'math']"
1615,A,800,"['greedy', 'math']"
1620,C,1800,"['brute force', 'dp', 'greedy', 'implementation', 'math']"
1620,E,1900,"['constructive algorithms', 'data structures', 'dsu', 'implementation']"
1620,B,1000,"['geometry', 'greedy', 'math']"
1620,A,800,"['constructive algorithms', 'dsu', 'implementation']"
1591,C,1300,"['greedy', 'math']"
1591,B,900,['greedy']
1591,A,800,['implementation']
1608,A,800,"['constructive algorithms', 'math']"
1611,E1,1700,"['dfs and similar', 'greedy', 'shortest paths', 'trees', 'two pointers']"
1611,D,1500,"['constructive algorithms', 'trees']"
1611,F,1800,"['binary search', 'data structures', 'two pointers']"
1611,C,1000,['constructive algorithms']
1611,B,800,"['binary search', 'constructive algorithms', 'math']"
1611,A,800,"['constructive algorithms', 'math']"
1610,A,900,['math']
1588,B,2000,"['binary search', 'combinatorics', 'implementation', 'interactive']"
1588,A,900,"['graph matchings', 'greedy', 'math', 'sortings']"
1535,D,1800,"['data structures', 'dfs and similar', 'dp', 'implementation', 'trees']"
1535,C,1400,"['binary search', 'dp', 'greedy', 'implementation', 'strings', 'two pointers']"
1535,B,900,"['brute force', 'greedy', 'math', 'number theory', 'sortings']"
1535,A,800,"['brute force', 'implementation']"
1503,B,1700,"['constructive algorithms', 'games', 'interactive']"
1503,A,1600,"['constructive algorithms', 'greedy']"
1505,B,1600,"['*special', 'implementation', 'number theory']"
1473,D,1700,"['data structures', 'dp', 'implementation', 'strings']"
1473,B,1000,"['brute force', 'math', 'number theory', 'strings']"
1473,A,800,"['greedy', 'implementation', 'math', 'sortings']"
1466,F,2100,"['bitmasks', 'dfs and similar', 'dsu', 'graphs', 'greedy', 'math', 'sortings']"
1466,E,1800,"['bitmasks', 'brute force', 'math']"
1466,D,1500,"['data structures', 'greedy', 'sortings', 'trees']"
1466,B,800,"['dp', 'greedy']"
1466,A,800,"['brute force', 'geometry', 'math']"
1458,B,2000,['dp']
1458,A,1600,"['math', 'number theory']"
1461,C,1500,"['dp', 'math', 'probabilities']"
1461,A,800,"['constructive algorithms', 'greedy']"
1461,E,2200,"['brute force', 'graphs', 'greedy', 'implementation', 'math']"
1456,C,2200,"['binary search', 'dp', 'greedy', 'sortings']"
1456,B,2000,"['bitmasks', 'brute force', 'constructive algorithms', 'math']"
1456,A,1400,"['brute force', 'dp', 'implementation']"
1439,A2,1900,"['constructive algorithms', 'graphs', 'greedy', 'implementation']"
1439,A1,1500,"['constructive algorithms', 'implementation']"
1439,C,2600,"['binary search', 'data structures', 'divide and conquer', 'greedy', 'implementation']"
1404,B,1900,"['dfs and similar', 'dp', 'games', 'trees']"
1404,A,1500,"['implementation', 'strings']"
1383,E,2800,"['combinatorics', 'data structures', 'dp']"
1383,B,1900,"['bitmasks', 'constructive algorithms', 'dp', 'games', 'greedy', 'math']"
1383,A,1700,"['dsu', 'graphs', 'greedy', 'sortings', 'strings', 'trees', 'two pointers']"
1381,B,1800,['dp']
1381,A1,1300,"['constructive algorithms', 'data structures', 'strings']"
1372,D,2100,"['brute force', 'dp', 'games', 'greedy']"
1372,C,1500,"['constructive algorithms', 'math']"
1372,B,1300,"['greedy', 'math', 'number theory']"
1372,A,800,"['constructive algorithms', 'implementation']"
1375,D,1900,"['brute force', 'constructive algorithms', 'sortings']"
1375,C,1400,"['constructive algorithms', 'data structures', 'greedy']"
1375,B,1200,"['constructive algorithms', 'greedy']"
1375,A,1100,"['constructive algorithms', 'math']"
1376,A1,,['*special']
1373,B,900,['games']
1373,C,1300,['math']
1373,D,1600,"['divide and conquer', 'dp', 'greedy', 'implementation']"
1373,A,1000,"['greedy', 'implementation', 'math']"
1369,D,1900,"['dp', 'graphs', 'greedy', 'math', 'trees']"
1369,C,1400,"['greedy', 'math', 'sortings', 'two pointers']"
1369,B,1200,"['greedy', 'implementation', 'strings']"
1369,A,800,"['geometry', 'math']"
1370,D,2000,"['binary search', 'dp', 'dsu', 'greedy', 'implementation']"
1370,E,2100,"['binary search', 'constructive algorithms', 'data structures', 'greedy']"
1370,C,1400,"['games', 'math', 'number theory']"
1370,B,1100,"['constructive algorithms', 'math', 'number theory']"
1370,A,800,"['greedy', 'implementation', 'math', 'number theory']"
1368,E,2500,"['constructive algorithms', 'graphs', 'greedy']"
1368,D,1700,"['bitmasks', 'greedy', 'math']"
1368,C,1500,['constructive algorithms']
1368,B,1500,"['brute force', 'constructive algorithms', 'greedy', 'math', 'strings']"
1368,A,800,"['brute force', 'greedy', 'implementation', 'math']"
1364,C,1600,"['brute force', 'constructive algorithms', 'greedy']"
1364,B,1300,"['greedy', 'two pointers']"
1364,A,1200,"['brute force', 'data structures', 'number theory', 'two pointers']"
1366,F,2700,"['binary search', 'dp', 'geometry', 'graphs']"
1366,E,2100,"['binary search', 'brute force', 'combinatorics', 'constructive algorithms', 'dp', 'two pointers']"
1366,C,1500,"['greedy', 'math']"
1366,D,2000,"['constructive algorithms', 'math', 'number theory']"
1366,B,1300,"['math', 'two pointers']"
1366,A,1100,"['binary search', 'greedy', 'math']"
1365,C,1400,"['constructive algorithms', 'data structures', 'greedy', 'implementation']"
1365,B,1300,"['constructive algorithms', 'implementation']"
1363,E,2000,"['dfs and similar', 'dp', 'greedy', 'trees']"
1363,D,2100,"['binary search', 'implementation', 'interactive', 'math']"
1363,C,1600,"['games', 'trees']"
1363,B,1400,"['implementation', 'strings']"
1363,A,1200,"['brute force', 'implementation', 'math']"
1359,F,2900,"['binary search', 'brute force', 'data structures', 'geometry', 'math']"
1359,D,2000,"['data structures', 'dp', 'implementation', 'two pointers']"
1359,C,1700,"['binary search', 'math']"
1359,E,2000,"['combinatorics', 'math', 'number theory']"
1359,B,1000,"['brute force', 'dp', 'greedy', 'implementation', 'two pointers']"
1359,A,1000,"['brute force', 'greedy', 'math']"
1358,D,1900,"['binary search', 'brute force', 'greedy', 'implementation', 'two pointers']"
1358,E,2400,"['constructive algorithms', 'data structures', 'greedy', 'implementation']"
1358,B,1000,"['greedy', 'sortings']"
